INFO:root:2022-06-27 13:42:49.946237 willerk started
INFO:root:2022-06-27 13:42:51.612965 -- Extraction complete in 1.4249110221862793 seconds
INFO:root:2022-06-27 13:44:11.844762 -- orders treated for INSERTION in 80.23079586029053 seconds
INFO:root:2022-06-27 13:44:27.317960 -- 74 orders inserted in 15.472198247909546 seconds
INFO:root:2022-06-27 13:44:32.802773 -- Extraction complete in 5.483815670013428 seconds
INFO:root:2022-06-27 13:44:32.810769 -- orders treated for UPDATE in 0.002992391586303711 seconds
INFO:root:2022-06-27 13:44:39.991289 -- 2 status updated in 7.176523447036743 seconds
INFO:root:2022-06-27 13:44:39.991289 -- willerk complete in 110.04505228996277 seconds
INFO:root:2022-06-27 13:44:39.992290 sawaryb2c started
INFO:root:2022-06-27 13:44:41.206363 -- Extraction complete in 1.0492007732391357 seconds
DEBUG:urllib3.connectionpool:https://bigquery.googleapis.com:443 "POST /bigquery/v2/projects/sacred-drive-353312/datasets/Orders/tables/sawaryb2c/insertAll?prettyPrint=false HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:https://bigquery.googleapis.com:443 "POST /bigquery/v2/projects/sacred-drive-353312/datasets/Orders/tables/sawaryb2c/insertAll?prettyPrint=false HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:https://bigquery.googleapis.com:443 "POST /bigquery/v2/projects/sacred-drive-353312/datasets/Orders/tables/sawaryb2c/insertAll?prettyPrint=false HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:https://bigquery.googleapis.com:443 "POST /bigquery/v2/projects/sacred-drive-353312/datasets/Orders/tables/sawaryb2c/insertAll?prettyPrint=false HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:https://bigquery.googleapis.com:443 "POST /bigquery/v2/projects/sacred-drive-353312/datasets/Orders/tables/sawaryb2c/insertAll?prettyPrint=false HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:https://bigquery.googleapis.com:443 "POST /bigquery/v2/projects/sacred-drive-353312/datasets/Orders/tables/sawaryb2c/insertAll?prettyPrint=false HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:https://bigquery.googleapis.com:443 "POST /bigquery/v2/projects/sacred-drive-353312/datasets/Orders/tables/sawaryb2c/insertAll?prettyPrint=false HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:https://bigquery.googleapis.com:443 "POST /bigquery/v2/projects/sacred-drive-353312/datasets/Orders/tables/sawaryb2c/insertAll?prettyPrint=false HTTP/1.1" 200 None
INFO:root:2022-06-27 13:45:34.052678 -- 40 orders inserted in 7.7633140087127686 seconds
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders?f_creationDate=creationDate:%5B2022-06-12T00:00:00.001Z%20TO%202022-06-26T23:59:59.999Z%5D&orderBy=creationDate,asc&per_page=100&page=1 HTTP/1.1" 200 120723
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders?f_creationDate=creationDate:%5B2022-06-12T00:00:00.001Z%20TO%202022-06-26T23:59:59.999Z%5D&orderBy=creationDate,asc&per_page=100&page=2 HTTP/1.1" 200 116168
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders?f_creationDate=creationDate:%5B2022-06-12T00:00:00.001Z%20TO%202022-06-26T23:59:59.999Z%5D&orderBy=creationDate,asc&per_page=100&page=3 HTTP/1.1" 200 117015
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders?f_creationDate=creationDate:%5B2022-06-12T00:00:00.001Z%20TO%202022-06-26T23:59:59.999Z%5D&orderBy=creationDate,asc&per_page=100&page=4 HTTP/1.1" 200 124931
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders?f_creationDate=creationDate:%5B2022-06-12T00:00:00.001Z%20TO%202022-06-26T23:59:59.999Z%5D&orderBy=creationDate,asc&per_page=100&page=5 HTTP/1.1" 200 116219
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): sawaryb2c.vtexcommercestable.com.br:443
DEBUG:urllib3.connectionpool:https://sawaryb2c.vtexcommercestable.com.br:443 "GET /api/oms/pvt/orders?f_creationDate=creationDate:%5B2022-06-12T00:00:00.001Z%20TO%202022-06-26T23:59:59.999Z%5D&orderBy=creationDate,asc&per_page=100&page=6 HTTP/1.1" 200 111869
INFO:root:2022-06-27 13:45:41.599250 -- Extraction complete in 7.537577867507935 seconds
INFO:root:2022-06-27 13:45:41.603245 -- orders treated for UPDATE in 0.000997304916381836 seconds
DEBUG:urllib3.connectionpool:https://bigquery.googleapis.com:443 "POST /bigquery/v2/projects/sacred-drive-353312/jobs?prettyPrint=false HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:https://bigquery.googleapis.com:443 "GET /bigquery/v2/projects/sacred-drive-353312/queries/6ced7b93-0041-431d-9d7c-787236e6e18f?maxResults=0&location=US&prettyPrint=false HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:https://bigquery.googleapis.com:443 "GET /bigquery/v2/projects/sacred-drive-353312/queries/6ced7b93-0041-431d-9d7c-787236e6e18f?fields=jobReference%2CtotalRows%2CpageToken%2Crows&location=US&formatOptions.useInt64Timestamp=True&prettyPrint=false HTTP/1.1" 200 None
INFO:root:2022-06-27 13:45:43.398557 -- 0 status updated in 1.7858061790466309 seconds
INFO:root:2022-06-27 13:45:43.399558 -- sawaryb2c complete in 63.407267570495605 seconds
INFO:root:2022-06-27 13:45:43.399558 sawaryb2b started
DEBUG:google.auth._default:Checking H:\Meu Drive\VTEX-POWERQUERY-AUTO\DEV\config\service-acc.json for explicit credentials as part of auth process...
DEBUG:google.auth._default:Checking H:\Meu Drive\VTEX-POWERQUERY-AUTO\DEV\config\service-acc.json for explicit credentials as part of auth process...
